volcanonumber,volcanoname,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
300250,bezymianny,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.67,2882.0,6.1,46.0,235.7826087,0.0,1.0,0.0,0,0.157,1.41,19.8
311300,bogoslof,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.28,150.0,,2.0,15539.5,1.0,1.0,0.0,0,,,
234000,boomerang seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.98,-650.0,,1.0,,1.0,0.0,0.0,0,,,
390080,bristol island,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.15,1100.0,,1.0,22011.0,1.0,1.0,0.0,0,,,
273010,bulusan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
358020,calbuco,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.0,1974.0,38.0,3.0,8541.333333,0.0,1.0,0.0,0,0.114,1.31,16.7
357091,callaqui,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.08,3164.0,78.0,1.0,83565.0,1.0,1.0,0.0,0,0.118,1.28,20.1
224010,cameroon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30.5,4095.0,920.0,4.0,3749.75,1.0,1.0,0.0,0,0.098,1.37,11.2
357140,carran-los venados,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,35.0,1114.0,,1.0,8554.0,1.0,1.0,0.0,0,,,
250030,central bismarck sea,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,18.57,-1300.0,,1.0,,0.0,0.0,0.0,0,,,
290030,chachadake [tiatia],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.96,1822.0,23.1,3.0,20548.33333,1.0,1.0,0.0,0,0.148,1.22,15.3
358041,chaiten,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.0,1122.0,,1.0,134499.0,0.0,0.0,1.0,0,,,
341120,"chichon, el",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,43.01,1150.0,,1.0,48238.0,0.0,1.0,0.0,0,,,
312110,chiginagak,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,2221.0,14.7,2.0,9890.0,0.0,1.0,0.0,0,0.199,1.46,23.4
290360,chikurachki,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.69,1781.0,10.7,14.0,1480.428571,1.0,1.0,0.0,0,0.178,1.39,22.2
357070,"chillan, nevados de",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.32,3180.0,6.7,3.0,6758.666667,0.0,1.0,1.0,0,0.155,1.69,18.6
290260,chirinkotan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.51,724.0,1.36,7.0,3264.857143,0.0,1.0,0.0,0,0.245,1.26,28.6
290150,chirpoi,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.22,742.0,,3.0,16242.33333,1.0,1.0,0.0,0,,,
283220,chokaisan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,2236.0,,1.0,50997.0,1.0,1.0,0.0,0,,,
331030,cleft segment,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.99,-2140.0,,2.0,1506.0,1.0,0.0,0.0,0,,,
311240,cleveland,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.66,1730.0,17.2,17.0,1414.294118,0.0,1.0,0.0,0,0.217,1.33,19.0
331020,coaxial segment,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.3,-2400.0,,2.0,2551.0,1.0,0.0,0.0,0,,,
341040,colima,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23.0,3850.0,5.0,11.0,881.0909091,0.0,1.0,0.0,0,0.218,1.37,23.4
266010,colo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.62,404.0,8.0,1.0,16633.0,0.0,1.0,0.0,0,0.041,1.23,6.4
344120,concepcion,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.33,1700.0,9.1,17.0,1091.0,1.0,1.0,0.0,0,0.217,1.51,20.0
357090,copahue,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.08,2953.0,14.1,13.0,2007.769231,1.0,1.0,1.0,0,0.11,1.47,15.1
352050,cotopaxi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,5911.0,32.8,1.0,27618.0,0.0,1.0,1.0,0,0.162,1.39,16.3
243102,curacoa,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.3,-33.0,,2.0,2128.0,0.0,1.0,0.0,0,,,
221113,dabbahu,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22.45,1401.0,40.0,1.0,,1.0,1.0,1.0,0,0.053,1.5,7.5
221041,dallol,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,18.8,-48.0,,1.0,31048.0,0.0,0.0,0.0,0,,,
390030,deception island,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.63,602.0,,3.0,7127.0,1.0,1.0,0.0,0,,,
261230,dempo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,3142.0,80.0,7.0,4000.428571,0.0,1.0,0.0,1,0.135,1.3,15.9
274020,didicas,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.02,228.0,,2.0,4433.5,0.0,1.0,0.0,0,,,
263200,dieng volcanic complex,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,32.0,2565.0,,12.0,1970.333333,1.0,1.0,0.0,0,,,
377020,east gakkel ridge at 85°e,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.43,-3800.0,,1.0,,0.0,0.0,0.0,0,,,
258001,eastern gemini seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10.74,-80.0,,1.0,,1.0,1.0,0.0,0,,,
290380,ebeko,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.49,1103.0,30.0,11.0,2573.727273,0.0,1.0,0.0,0,0.081,1.34,16.6
264100,ebulobo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.9,2096.0,7.9,1.0,10050.0,1.0,1.0,0.0,0,0.218,1.43,21.4
264160,egon,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.85,1661.0,3.4,4.0,478.3333333,0.0,1.0,0.0,0,0.171,1.59,22.4
290270,ekarma,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.51,1170.0,9.8,2.0,44010.5,0.0,1.0,0.0,0,0.177,1.81,20.9
257060,epi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.69,833.0,,5.0,3305.6,1.0,1.0,0.0,0,,,
390020,erebus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.93,3794.0,,3.0,2125.666667,1.0,1.0,1.0,0,,,
221080,erta ale,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,15.9,613.0,6.1,2.0,5021.5,1.0,1.0,0.0,0,0.031,1.96,3.8
211060,etna,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.14,3320.0,273.0,42.0,308.8333333,1.0,1.0,0.0,0,0.1,1.13,11.0
290070,etorofu-yakeyama [grozny group],0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15.7,1158.0,,7.0,2722.166667,0.0,1.0,0.0,0,,,
372020,eyjafjallajokull,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.04,1651.0,,1.0,68379.0,1.0,1.0,0.0,0,,,
284140,farallon de pajaros,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.96,337.0,,1.0,5094.0,0.0,1.0,0.0,0,,,
